CBU,IDCliente,Denominacion,Saldo
1234567890123456789001,1001,ARS,150000
2345678901234567890001,1001,USD,5000
3456789012345678901001,1002,ARS,80000.5
4567890123456789012001,1003,ARS,450000
5678901234567890123001,1003,USD,20000
6789012345678901234001,1003,EUR,15000
7890123456789012345001,1004,ARS,280001
8901234567890123456001,1004,USD,12000
9012345678901234567001,1005,ARS,95000
0123456789012345678001,1006,ARS,620000
1123456789012345678001,1006,USD,35000
2223456789012345678001,1006,EUR,22000
3334456789012345678001,1007,ARS,175000
4445567890123456789001,1007,USD,8500
5556678901234567890001,1008,ARS,62000
6667789012345678901001,1009,ARS,320000
7778890123456789012001,1009,USD,15000
8889901234567890123001,1010,ARS,580000
9990012345678901234001,1010,EUR,28000
1011223456789012345601,1011,ARS,48000
1112334567890123456701,1012,ARS,210000
1213445678901234567801,1012,USD,11000
1314556789012345678901,1013,ARS,725000
1415667890123456789001,1013,USD,40000
1516778901234567890101,1013,EUR,30000
1617889012345678901201,1014,ARS,55000
1718990123456789012301,1015,ARS,195000
1819001234567890123401,1015,USD,9500
1920112345678901234501,1016,ARS,840000
2021223456789012345601,1016,EUR,45000
2122334567890123456701,1017,ARS,38000
2223445678901234567801,1018,ARS,776000
2324556789012345678901,1018,USD,13500
2425667890123456789001,1019,ARS,920000
2526778901234567890101,1019,USD,50000
2627889012345678901201,1019,EUR,38000
0000000000000000001217,1019,USD,0
2728990123456789012301,1020,ARS,71000
0000000000000000030639,6864,USD,0
